time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/exploration_rate,time/episodes,time/fps,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/loss,eval/mean_ep_length,eval/mean_reward
2256,1411,-12.003,0.9785679999999997,20,1,87.65,335,0.0001,0.2510427191853523,,
2304,1428,-13.142380952380952,0.9781120000000003,21,1,90.28571428571429,340,0.0001,0.2958972305059433,,
2408,1459,-12.564545454545454,0.9771240000000003,22,1,94.31818181818181,360,0.0001,0.3568396419286728,,
2768,1555,-13.17695652173913,0.9737040000000001,23,1,94.0,415,0.0001,0.25579679310321807,,
2808,1572,-12.997916666666667,0.9733239999999997,24,1,96.70833333333333,420,0.0001,0.21350221931934357,,
3040,1640,-13.5108,0.9711199999999997,25,1,97.24,455,0.0001,0.1991206556558609,,
3072,,,0.9708920000000004,,,,460,0.0001,0.3305753797292709,371.0,15.016000000000002
3112,2015,-13.839615384615383,0.970436,26,1,97.38461538461539,470,0.0001,0.25449602901935575,,
3256,2070,-13.63037037037037,0.9690679999999997,27,1,97.70370370370371,490,0.0001,0.2676944434642792,,
3384,2150,-13.086206896551724,0.9678519999999995,28,1,101.93103448275862,510,0.0001,0.3098344624042511,,
3384,2150,-13.086206896551724,,29,1,101.93103448275862,,,,,
3536,2210,-12.502333333333333,0.9664080000000002,30,1,105.36666666666666,535,0.0001,0.2394663870334625,,
3616,2230,-13.109032258064516,0.9656480000000005,31,1,105.2258064516129,545,0.0001,0.29505534321069715,,
3664,2245,-13.38625,0.965192,32,1,105.4375,555,0.0001,0.2398700922727585,,
3728,2269,-13.76787878787879,0.9645840000000004,33,1,104.84848484848484,565,0.0001,0.3027125298976898,,
3760,2343,-13.362058823529413,0.9642800000000001,34,1,101.88235294117646,570,0.0001,0.2649513304233551,,
3800,2417,-13.013428571428573,0.9638999999999998,35,1,99.11428571428571,575,0.0001,0.27434569001197817,,
3808,2486,-12.651944444444446,0.9638239999999997,36,1,96.38888888888889,,,,,
3816,2555,-12.310000000000002,0.9637479999999996,37,1,93.8108108108108,580,0.0001,0.20163127183914184,,
3824,2626,-11.98605263157895,0.9636719999999995,38,1,91.36842105263158,,,,,
3896,2655,-12.677435897435899,0.962988,39,1,89.25641025641026,590,0.0001,0.25264495313167573,,
3912,2726,-12.36025,0.9628359999999998,40,1,87.075,595,0.0001,0.2872040569782257,,
3928,2737,-12.322682926829268,0.9626839999999997,41,1,87.4390243902439,,,,,
3944,2806,-12.02904761904762,0.9625320000000005,42,1,85.4047619047619,600,0.0001,0.23487141728401184,,
3992,2883,-11.748604651162792,0.962076,43,1,83.55813953488372,605,0.0001,0.2814483463764191,,
4000,2952,-11.48159090909091,0.962,44,1,81.68181818181819,,,,,
4008,3021,-11.226444444444446,0.9619239999999999,45,1,79.88888888888889,610,0.0001,0.3401182770729065,,
4096,,,0.9611640000000001,,,,620,0.0001,0.26921294033527376,63.0,3.104
4240,3337,-11.616304347826087,0.9597199999999998,46,1,80.06521739130434,645,0.0001,0.26677680015563965,,
4280,3420,-11.815,0.9593400000000005,47,1,78.5625,650,0.0001,0.2883055776357651,,
4280,3420,-11.815,,48,1,78.5625,,,,,
4320,3496,-11.573877551020407,0.9589600000000001,49,1,77.06122448979592,655,0.0001,0.2840448886156082,,
4344,3566,-11.3422,0.9587319999999999,50,1,75.58,660,0.0001,0.23482255637645721,,
4400,3645,-11.119607843137254,0.9582000000000004,51,1,74.23529411764706,670,0.0001,0.25048922896385195,,
4408,3715,-10.90576923076923,0.9581240000000003,52,1,72.82692307692308,,,,,
4416,3783,-10.700000000000001,0.9580480000000002,53,1,71.47169811320755,,,,,
4472,3812,-11.088909090909091,0.9575159999999997,54,1,73.18181818181819,680,0.0001,0.18435104787349701,,
4472,3812,-11.088909090909091,,55,1,73.18181818181819,,,,,
4512,3830,-10.682500000000001,0.9571360000000004,56,1,74.67857142857143,685,0.0001,0.24920912086963654,,
4520,3899,-10.495087719298246,0.9570600000000004,57,1,73.3859649122807,690,0.0001,0.24646463990211487,,
4704,3964,-10.594655172413793,0.9553119999999996,58,1,73.03448275862068,715,0.0001,0.333360031247139,,
4720,3979,-10.39457627118644,0.9551600000000006,59,1,74.62711864406779,720,0.0001,0.28182233572006227,,
5104,4090,-10.554833333333333,0.951512,60,1,74.7,780,0.0001,0.2811404585838318,,
5120,,,0.951436,,,,,,,60.6,-27.886000000000003
5168,4271,-10.255737704918031,0.9509040000000005,61,1,76.04918032786885,790,0.0001,0.23313576877117156,,
5176,4339,-10.090322580645159,0.9508280000000005,62,1,74.83870967741936,,,,,
5184,4408,-9.930158730158729,0.9507520000000004,63,1,73.66666666666667,,,,,
5224,4426,-10.2009375,0.950372,64,1,73.984375,800,0.0001,0.3193285331130028,,
5232,4436,-9.987384615384617,0.9502959999999998,65,1,75.2,,,,,
5528,4583,-9.70439393939394,0.9474840000000002,66,1,76.16666666666667,845,0.0001,0.2639501065015793,,
5608,4612,-9.908805970149254,0.9467240000000006,67,1,76.68656716417911,860,0.0001,0.2525371491909027,,
5624,4624,-9.838970588235293,0.9465720000000004,68,1,77.25,,,,,
5704,4649,-10.164492753623188,0.9458119999999997,69,1,77.21739130434783,875,0.0001,0.30215567350387573,,
5736,4667,-10.461714285714285,0.9455080000000003,70,1,76.34285714285714,880,0.0001,0.32509115934371946,,
5816,4698,-10.764084507042252,0.9447479999999996,71,1,76.29577464788733,890,0.0001,0.27530465424060824,,
5896,4725,-11.028055555555556,0.9439879999999999,72,1,76.47222222222223,905,0.0001,0.3401982009410858,,
5992,4755,-11.124109589041096,0.943076,73,1,76.73972602739725,920,0.0001,0.48535231947898866,,
6040,4772,-11.373918918918918,0.9426199999999996,74,1,78.27027027027027,925,0.0001,0.25606995820999146,,
6144,,,0.9417079999999998,,,,940,0.0001,0.3537830889225006,619.2,-16.242
6152,5044,-11.343733333333333,0.9415559999999996,75,1,78.10666666666667,945,0.0001,0.4067550987005234,,
6248,5071,-11.447368421052632,0.9406439999999997,76,1,78.26315789473684,960,0.0001,0.26952214241027833,,
6504,5135,-11.577792207792207,0.9382120000000005,77,1,78.49350649350649,1000,0.0001,0.27900315523147584,,
6728,5199,-11.734615384615385,0.9360840000000004,78,1,79.12820512820512,1035,0.0001,0.33555073738098146,,
6800,5219,-11.798481012658227,0.9353999999999998,79,1,79.40506329113924,1045,0.0001,0.3061492770910263,,
6832,5233,-12.064625,0.9350960000000005,80,1,79.325,1050,0.0001,0.26170526146888734,,
7072,5311,-12.207407407407407,0.9328160000000003,81,1,79.93827160493827,1085,0.0001,0.37404107451438906,,
7168,,,0.9319799999999995,,,,1100,0.0001,0.26173373460769656,155.0,5.734
7208,5526,-12.477317073170731,0.9315240000000001,82,1,79.58536585365853,1110,0.0001,0.3228540778160095,,
7304,5553,-12.352048192771084,0.9306120000000002,83,1,80.74698795180723,1125,0.0001,0.3636643558740616,,
7312,5622,-12.205,0.9305360000000001,84,1,79.79761904761905,,,,,
7352,5640,-12.306,0.9301559999999998,85,1,80.62352941176471,1130,0.0001,0.3177772521972656,,
7384,5655,-12.203372093023257,0.9298520000000006,86,1,81.96511627906976,1135,0.0001,0.33223649859428406,,
7392,5664,-12.310804597701148,0.9297760000000004,87,1,82.29885057471265,,,,,
7400,5673,-12.44340909090909,0.9297000000000004,88,1,82.17045454545455,1140,0.0001,0.317339152097702,,
7568,5721,-12.5938202247191,0.9281039999999998,89,1,82.42696629213484,1165,0.0001,0.334901487827301,,
7704,5760,-12.690777777777775,0.9268119999999995,90,1,82.38888888888889,1185,0.0001,0.28806595504283905,,
7984,5840,-12.823076923076922,0.9241520000000001,91,1,82.54945054945055,1230,0.0001,0.2329018831253052,,
8072,5869,-13.03010869565217,0.9233160000000004,92,1,82.6304347826087,1245,0.0001,0.3554664433002472,,
8160,5901,-13.169462365591395,0.9224800000000005,93,1,82.88172043010752,1255,0.0001,0.34785188138484957,,
8168,5911,-13.261702127659571,0.9224040000000004,94,1,83.03191489361703,1260,0.0001,0.32536097168922423,,
8192,,,0.9222520000000003,,,,,,,211.8,-7.57
8192,6116,-13.412947368421051,0.9221760000000002,95,1,82.97894736842105,,,,,
8240,6134,-13.550312499999999,0.9217199999999998,96,1,83.22916666666667,1270,0.0001,0.3320130407810211,,
8264,6146,-13.690824742268042,0.9214919999999995,97,1,83.48453608247422,1275,0.0001,0.33747943937778474,,
8600,6234,-13.85081632653061,0.9182999999999996,98,1,83.18367346938776,1325,0.0001,0.27328009009361265,,
8640,6248,-13.864141414141415,0.9179200000000002,99,1,83.52525252525253,1330,0.0001,0.3746184229850769,,
8648,6360,-13.9604,0.9178440000000001,100,1,83.52,1335,0.0001,0.2465081363916397,,
8840,6426,-14.220799999999999,0.9160200000000004,101,1,84.36,1365,0.0001,0.31785703301429746,,
8904,6443,-14.500100000000002,0.9154119999999998,102,1,85.24,1375,0.0001,0.36197093725204466,,
8912,6580,-14.500100000000002,0.9153359999999997,103,1,85.24,,,,,
9176,6730,-14.818399999999999,0.9128280000000004,104,1,85.95,1415,0.0001,0.3158085823059082,,
9216,,,0.9125240000000001,,,,1420,0.0001,0.34298562407493594,357.2,-22.872
9312,6992,-14.661499999999998,0.9115360000000001,105,1,87.33,1435,0.0001,0.3206883788108826,,
9352,7006,-14.786799999999998,0.9111559999999997,106,1,88.03,1445,0.0001,0.2771515667438507,,
