time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/exploration_rate,train/learning_rate,train/n_updates,train/loss,eval/mean_ep_length,eval/mean_reward
2,-27.56,104,13.0,40,1,0.999012,,,,,
5,-24.555,632,46.0,111,2,0.9939960000000003,0.0001,80,0.3128898561000824,,
5,-24.41,680,59.0,122,3,0.9935399999999999,0.0001,90,0.20555272400379182,,
5,-25.747500000000002,792,69.0,135,4,0.9924759999999999,0.0001,105,0.25677869021892546,,
5,-26.2,800,75.2,143,5,0.9923999999999998,,,,,
,,1024,,,,0.9903479999999999,0.0001,140,0.2837128221988678,559.4,-12.712
2,-27.603333333333335,1024,84.0,364,6,0.9902719999999998,,,,,
2,-22.802857142857142,1096,91.57142857142857,379,7,0.9895880000000001,0.0001,155,0.2237709194421768,,
2,-21.585,1304,90.625,480,8,0.9876120000000003,0.0001,185,0.24102821052074433,,
2,-18.374444444444446,1416,98.77777777777777,496,9,0.9865480000000003,0.0001,205,0.22219155579805375,,
2,-17.089000000000002,1528,108.0,513,10,0.9854840000000002,0.0001,220,0.283778515458107,,
3,-17.490000000000002,1680,108.18181818181819,532,11,0.9840399999999998,0.0001,245,0.25597971081733706,,
3,-19.263333333333335,1712,105.58333333333333,542,12,0.9837359999999996,0.0001,250,0.33074023723602297,,
3,-17.953846153846158,1816,108.38461538461539,558,13,0.9827479999999996,0.0001,265,0.2381310373544693,,
3,-17.05857142857143,2024,111.64285714285714,583,14,0.9807719999999998,0.0001,300,0.22419873774051666,,
,,2048,,,,0.9806199999999996,,,,349.4,-12.284
2,-16.95266666666667,2352,109.53333333333333,829,15,0.9776559999999999,0.0001,350,0.1756760597229004,,
2,-17.13125,2368,110.125,837,16,0.9775039999999997,,,,,
2,-16.123529411764707,2392,103.94117647058823,906,17,0.9772760000000005,0.0001,355,0.29630406498908995,,
2,-15.22777777777778,2400,98.22222222222223,975,18,0.9772000000000004,,,,,
2,-15.425263157894738,2408,96.94736842105263,982,19,0.9771240000000003,0.0001,360,0.19311408698558807,,
2,-16.383000000000003,2536,92.95,1005,20,0.9759080000000002,0.0001,380,0.22608071565628052,,
2,-15.07904761904762,2600,97.9047619047619,1051,21,0.9752999999999996,0.0001,390,0.3253041863441467,,
2,-14.260454545454547,2640,101.04545454545455,1061,22,0.9749200000000002,0.0001,395,0.26029611825942994,,
2,-13.913913043478262,2672,102.04347826086956,1071,23,0.9746159999999999,0.0001,400,0.29067887365818024,,
2,-14.39,2744,101.54166666666667,1085,24,0.9739320000000002,0.0001,410,0.2766812264919281,,
2,-14.100800000000001,2872,104.2,1103,25,0.9727160000000001,0.0001,430,0.23141197860240936,,
2,-14.872307692307695,2936,100.5,1153,26,0.9721079999999995,0.0001,440,0.20038558691740035,,
,,3072,,,,0.9708920000000004,0.0001,460,0.2339419335126877,310.2,-11.863999999999999
2,-15.355555555555558,3080,99.88888888888889,1451,27,0.9707400000000003,0.0001,465,0.29900684058666227,,
2,-15.454285714285717,3536,100.17857142857143,1493,28,0.9664080000000002,0.0001,535,0.2505075916647911,,
2,-15.213448275862072,3592,102.0,1505,29,0.9658759999999996,0.0001,545,0.21870228052139282,,
2,-15.663000000000004,3600,103.03333333333333,1512,30,0.9657999999999995,,,,,
2,-15.157741935483875,3608,99.74193548387096,1580,31,0.9657239999999995,,,,,
2,-14.6840625,3616,96.65625,1647,32,0.9656480000000005,,,,,
2,-15.125151515151515,3672,97.63636363636364,1677,33,0.965116,0.0001,555,0.19477468430995942,,
2,-15.383529411764705,3864,95.97058823529412,1702,34,0.9632920000000003,0.0001,585,0.20746659338474274,,
2,-15.68085714285714,4008,97.05714285714286,1722,35,0.9619239999999999,0.0001,610,0.1520467847585678,,
,,4096,,,,0.9611640000000001,0.0001,620,0.22878165245056153,408.4,-10.276
2,-15.41222222222222,4168,99.80555555555556,1941,36,0.9604040000000005,0.0001,635,0.3176803171634674,,
2,-15.911621621621618,4184,99.02702702702703,1950,37,0.9602520000000003,,,,,
2,-15.877692307692305,4280,100.0,1966,38,0.9593400000000005,0.0001,650,0.24687813445925713,,
2,-15.877692307692305,4280,100.0,1966,39,,,,,,
2,-15.603,4296,102.35,1974,40,0.9591880000000004,0.0001,655,0.3058199375867844,,
2,-16.515238095238097,4344,99.38095238095238,2005,41,0.9587319999999999,0.0001,660,0.2147361785173416,,
2,-16.515238095238097,4344,99.38095238095238,2005,42,,,,,,
2,-16.324186046511628,4808,100.37209302325581,2043,43,0.9543239999999997,0.0001,735,0.22161372601985932,,
2,-16.609545454545454,4928,99.93181818181819,2058,44,0.9531839999999996,0.0001,750,0.20824012756347657,,
2,-16.809555555555555,4976,98.17777777777778,2072,45,0.9527280000000002,0.0001,760,0.19324746131896972,,
2,-17.16478260869565,4984,97.78260869565217,2080,46,0.9526520000000002,,,,,
2,-16.799574468085105,4992,95.72340425531915,2147,47,0.9525760000000001,,,,,
2,-16.91,5064,96.0625,2159,48,0.9518920000000004,0.0001,775,0.2894129127264023,,
2,-16.564897959183675,5072,94.12244897959184,2227,49,0.9518160000000003,,,,,
,,5120,,,,0.951436,0.0001,780,0.28822659105062487,681.0,-19.292
2,-16.7328,5328,94.86,2395,50,0.949384,0.0001,815,0.18820192515850068,,
2,-16.58078431372549,5424,96.47058823529412,2409,51,0.9484720000000002,0.0001,830,0.3156506806612015,,
2,-16.26192307692308,5432,94.63461538461539,2476,52,0.948396,,,,,
2,-16.59415094339623,5544,94.30188679245283,2490,53,0.9473320000000001,0.0001,850,0.28657945692539216,,
